Source: http://www.natesholdem.com/pre-flop-odds.php,,,,,,,,,
Hold,2p,3p,4p,5p,6p,7p,8p,9p,10p
K2s,0.529,0.346,0.260,0.212,0.181,0.159,0.143,0.130,0.119
K2o,0.502,0.309,0.218,0.169,0.137,0.115,0.098,0.086,0.076
QQ,0.799,0.649,0.535,0.447,0.379,0.325,0.283,0.249,0.222
QJs,0.603,0.441,0.356,0.301,0.261,0.230,0.207,0.187,0.171
QJo,0.582,0.414,0.326,0.269,0.229,0.198,0.173,0.153,0.137
QTs,0.595,0.431,0.346,0.291,0.252,0.223,0.199,0.181,0.166
QTo,0.574,0.402,0.313,0.257,0.216,0.186,0.163,0.144,0.129
Q9s,0.579,0.407,0.319,0.264,0.225,0.197,0.176,0.159,0.145
Q9o,0.555,0.376,0.285,0.229,0.190,0.161,0.138,0.121,0.107
Q8s,0.562,0.386,0.297,0.244,0.207,0.180,0.160,0.144,0.132
Q8o,0.538,0.354,0.262,0.206,0.169,0.141,0.121,0.105,0.092
Q7s,0.545,0.367,0.279,0.227,0.192,0.167,0.148,0.133,0.121
Q7o,0.519,0.332,0.240,0.186,0.151,0.125,0.106,0.092,0.080
Q6s,0.538,0.358,0.271,0.219,0.185,0.161,0.143,0.129,0.117
Q6o,0.511,0.323,0.232,0.179,0.144,0.120,0.101,0.088,0.076
Q5s,0.529,0.349,0.263,0.214,0.181,0.158,0.141,0.127,0.116
Q5o,0.502,0.313,0.223,0.173,0.139,0.116,0.098,0.085,0.074
Q4s,0.517,0.339,0.255,0.207,0.176,0.154,0.137,0.124,0.113
Q4o,0.490,0.302,0.214,0.164,0.133,0.110,0.094,0.081,0.071
Q3s,0.507,0.330,0.247,0.201,0.170,0.149,0.133,0.121,0.111
Q3o,0.479,0.292,0.207,0.159,0.128,0.107,0.091,0.079,0.069
Q2s,0.499,0.322,0.240,0.195,0.166,0.146,0.131,0.119,0.109
Q2o,0.470,0.284,0.199,0.153,0.123,0.103,0.088,0.077,0.068
JJ,0.775,0.612,0.492,0.403,0.336,0.285,0.246,0.216,0.193
JTs,0.575,0.419,0.338,0.285,0.247,0.219,0.197,0.179,0.165
JTo,0.554,0.390,0.307,0.253,0.215,0.186,0.163,0.145,0.131
J9s,0.558,0.396,0.313,0.261,0.224,0.197,0.176,0.159,0.146
J9o,0.534,0.365,0.279,0.225,0.187,0.159,0.138,0.121,0.108
J8s,0.542,0.375,0.291,0.240,0.205,0.179,0.159,0.144,0.132
J8o,0.517,0.342,0.256,0.204,0.168,0.141,0.122,0.107,0.095
J7s,0.524,0.354,0.271,0.222,0.189,0.164,0.146,0.132,0.120
J7o,0.499,0.321,0.235,0.183,0.149,0.124,0.106,0.092,0.081
J6s,0.508,0.336,0.254,0.206,0.174,0.152,0.135,0.121,0.111
J6o,0.479,0.298,0.214,0.165,0.132,0.110,0.093,0.080,0.070
J5s,0.500,0.328,0.247,0.200,0.170,0.147,0.131,0.118,0.108
J5o,0.471,0.291,0.207,0.159,0.128,0.106,0.089,0.077,0.067
J4s,0.490,0.318,0.240,0.194,0.164,0.143,0.128,0.115,0.106
J4o,0.461,0.281,0.199,0.153,0.123,0.102,0.086,0.075,0.065
J3s,0.479,0.309,0.232,0.188,0.160,0.140,0.125,0.113,0.104
J3o,0.450,0.271,0.191,0.146,0.117,0.098,0.083,0.072,0.063
J2s,0.471,0.301,0.226,0.183,0.156,0.137,0.122,0.111,0.102
J2o,0.440,0.262,0.184,0.141,0.113,0.094,0.080,0.070,0.062
TT,0.751,0.577,0.452,0.364,0.300,0.253,0.218,0.192,0.172
T9s,0.543,0.389,0.310,0.260,0.225,0.198,0.178,0.162,0.149
T9o,0.517,0.357,0.277,0.225,0.189,0.162,0.141,0.126,0.113
T8s,0.526,0.369,0.290,0.240,0.206,0.181,0.162,0.148,0.136
T8o,0.500,0.336,0.254,0.204,0.169,0.144,0.125,0.110,0.099
T7s,0.510,0.349,0.270,0.222,0.190,0.166,0.148,0.135,0.124
T7o,0.482,0.314,0.234,0.184,0.151,0.128,0.110,0.097,0.086
T6s,0.492,0.328,0.251,0.205,0.174,0.152,0.136,0.123,0.112
T6o,0.463,0.292,0.212,0.165,0.134,0.112,0.095,0.083,0.073
T5s,0.472,0.308,0.233,0.189,0.160,0.139,0.124,0.112,0.102
T5o,0.442,0.271,0.193,0.148,0.119,0.099,0.084,0.072,0.064
T4s,0.464,0.301,0.227,0.184,0.156,0.136,0.121,0.110,0.100
